seed	water_pct	ocean_conn_pct	spawn_biome	plains_pct	local_water_pct	island_blocks	island_open
8609475112648835277	56.3	99.1	sunflower_plains	28.2	38.1	5287312	1
4854598923328684322	37.3	85.6	savanna	0.0	62.9	10397520	1
-6653505499486485661	46.7	47.4	beach	2.7	40.3	8173696	1
-8185855272699296615	46.3	87.4	windswept_savanna	0.0	40.9	6359440	1
3166030538041460865	52.3	77.3	dark_forest	5.8	9.1	6580608	1
4059995064074504729	49.0	95.6	forest	6.9	48.4	5698736	1
5085408404231424590	43.4	94.1	jungle	0.7	55.2	5135408	1
-418271815392031734	35.2	95.4	forest	18.8	24.0	10641904	1
-6688971346552025700	40.6	95.3	plains	27.2	31.5	4498320	1
6844627008673025652	44.4	93.6	savanna	1.3	30.4	6284656	1
-7496804529711607684	42.6	95.6	savanna	2.5	40.7	8199072	1
3478186287213581031	40.0	89.2	forest	3.5	40.0	9983728	1
-8137160101728349364	49.3	98.6	mangrove_swamp	0.0	48.8	5562656	1
3927983299997210036	51.3	92.7	savanna	40.0	14.1	6026864	1
3278339053749016358	45.0	90.9	birch_forest	1.1	43.5	6402400	1
-5364631581128386476	45.2	99.2	beach	0.0	59.1	8584432	1
300333800150276424	44.6	90.7	sunflower_plains	14.1	47.1	6899920	1
-6284491805018809817	42.4	85.8	desert	0.0	66.4	4883632	1
5619929385004964481	58.2	98.0	plains	34.3	12.5	1186960	1
2598576984992783241	50.3	55.3	forest	1.2	52.0	7194720	1
