Sep=;
#X1;-673;(-2692)
#Z1;-617;(-2468)
#X2;672;(2688)
#Z2;616;(2464)
#scale;1:4
seed;#;badlands;bamboo_jungle;beach;birch_forest;cherry_grove;cold_ocean;dark_forest;deep_cold_ocean;deep_frozen_ocean;deep_lukewarm_ocean;deep_ocean;desert;eroded_badlands;flower_forest;forest;frozen_ocean;frozen_peaks;frozen_river;grove;ice_spikes;jagged_peaks;jungle;lukewarm_ocean;mangrove_swamp;meadow;mushroom_fields;ocean;old_growth_birch_forest;old_growth_pine_taiga;old_growth_spruce_taiga;pale_garden;plains;river;savanna;savanna_plateau;snowy_beach;snowy_plains;snowy_slopes;snowy_taiga;sparse_jungle;stony_peaks;stony_shore;sunflower_plains;swamp;taiga;warm_ocean;windswept_forest;windswept_gravelly_hills;windswept_hills;windswept_savanna;wooded_badlands
5325225084388900871;41;11577;9803;42043;35671;558;53944;21971;31990;0;120644;151348;84871;3917;5625;99474;0;0;0;2094;0;2431;37553;187532;8052;6791;4169;162759;21630;0;0;3226;100496;73200;112011;8057;0;0;3611;0;31335;201;20694;12853;4906;6900;166304;121;643;369;7462;2128
998954692346118157;42;0;11179;50068;51410;2440;39421;58579;17696;0;144697;211525;0;0;2505;179164;0;3241;1340;12721;0;5611;25883;183864;0;25995;4656;149128;68848;3096;7995;3922;137889;80762;45298;2989;10;6508;6482;4926;25019;783;21255;2012;19960;32415;0;2399;468;1844;4961;0
1603562942320607248;43;2;13610;40420;22412;547;16360;30105;7959;0;391032;63271;265;0;6677;127706;0;498;0;936;0;1638;49159;298694;4204;3327;6028;131805;28001;11234;9890;1887;118554;70707;66856;7683;0;0;2413;0;26091;2266;28647;15156;20338;19501;3131;1425;127;1452;6646;2304
-4111223509835841520;43;140;1421;51224;38714;3473;53240;87080;60431;1059;165085;270889;1036;0;7537;147687;436;1052;0;3944;0;834;10312;167816;1675;9580;1014;277602;41013;1721;3913;4598;109004;65956;11959;71;0;0;0;0;3040;880;18388;11358;4286;8146;2108;4581;0;2338;4308;15
-199565758487855069;33;0;9731;52583;55110;4509;0;35515;0;0;210376;205310;0;0;1576;184295;0;48;0;1298;0;3373;20757;202896;0;16460;10486;180440;54406;0;0;1588;163534;85860;95719;1290;0;0;3485;0;17086;869;21125;4876;1761;2076;0;5856;0;194;6476;0
4781978379337334852;40;26628;4036;36770;20992;2065;22469;30694;42631;0;162476;104569;49067;5342;5839;136794;0;0;0;0;0;0;44821;242256;16503;2414;17079;106191;24532;1795;5781;4145;87927;76835;68300;1262;0;0;203;0;31914;78;23229;7215;6558;25949;188857;649;0;5754;4154;16191
-3564036155110326197;38;0;19762;38693;57549;1589;36203;61382;28936;0;70006;199883;21987;0;21284;132581;0;51;0;0;0;0;75769;96085;2555;3367;2656;251335;49863;10616;7345;3375;133288;114654;63826;571;0;0;0;0;33072;0;13701;10329;4846;22125;53083;5452;20;1692;3360;8073
-5224457042726485889;39;0;5479;31796;57575;9638;53451;47243;18967;0;160415;153906;31076;0;17016;170279;0;920;0;5730;0;1945;23793;63357;34651;17856;22994;137388;41233;14870;11389;6498;181027;85347;18271;0;0;0;1257;0;10030;0;13152;8093;26434;22389;146943;1623;361;3274;3298;0
7502715504222535817;41;47079;19673;34546;30333;11399;10411;18306;3144;0;101743;59166;73255;6259;16847;170711;0;7253;0;14304;0;3624;25659;163169;4171;18111;0;137115;32234;3009;2453;2793;173040;95459;49547;2529;0;0;2896;0;32521;150;29387;19601;14710;6685;186609;0;0;1539;5254;24270
7423621035766841496;37;13614;9578;40321;31779;5583;0;35180;0;0;162627;93928;20108;8444;24168;210011;0;1059;0;6956;0;2430;26065;224632;500;20565;2241;198914;39130;0;185;4834;164178;88435;80993;208;0;0;1679;0;31874;1759;22038;14498;0;1697;62657;0;0;3008;5088;0
2809120267572347036;38;0;12682;51068;22126;34;71486;39031;38762;0;159995;180945;2137;0;5719;152565;0;377;0;1274;0;29;28836;193810;37382;2373;1860;251138;31709;1427;1383;9933;114754;78845;81232;659;0;0;0;0;23474;400;26504;6142;2505;17520;0;82;0;458;10308;0
3483252836794368179;41;11105;24642;40924;28887;1994;32821;7688;8733;0;80791;136455;23954;22133;30398;179276;0;1455;0;3681;0;1329;67451;161983;4813;9896;0;185990;20624;13535;3397;3254;125617;99581;125046;6286;0;0;404;0;21862;9298;22842;40967;0;26795;65060;545;0;983;5565;2904
673006669315178679;41;20353;5106;52818;48064;194;3124;37324;0;0;98284;175517;111716;9365;3692;169676;0;264;1062;722;0;30;26716;113035;0;2924;1390;197773;58841;6353;2261;1912;153672;101443;76871;3155;0;0;0;7813;21572;3201;16299;6219;0;25060;50125;216;0;191;2562;44049
5615988735331008709;38;17;4789;46675;54918;1804;46165;58405;7986;0;116352;132365;6652;1186;14466;151731;0;790;0;1535;0;0;29971;205728;0;7968;850;256524;48957;1557;496;4513;144741;100109;128032;8280;0;0;422;0;20624;2014;25252;19087;408;8360;0;0;0;879;356;0
-137922738588221240;33;57097;22841;30267;14855;0;0;4980;0;0;179534;65581;194454;4378;262;56508;0;0;0;1328;0;370;39017;319892;8039;2134;249;70558;13410;0;0;3948;71102;77648;66464;7534;0;0;1;0;59331;861;29681;117;0;0;235475;0;0;0;2774;20274
8146448775959806181;46;453;20004;39552;32349;1698;47866;9905;13137;30255;139261;96143;63264;0;12312;147438;41174;199;3126;748;0;0;36465;131227;29233;5063;13020;124749;18790;466;0;4613;97090;71422;72907;8754;5564;6180;174;14158;42755;21;19078;12371;26488;16134;171093;1013;0;3931;5957;23364
-739716238795603710;46;8612;4289;23770;20478;1538;67554;42000;31944;0;157071;196971;172697;8397;165;72405;225;2998;1253;8553;0;1629;17654;190027;54120;5627;2672;197019;28348;251;1720;3379;58762;67137;49802;3519;0;2298;6512;2794;15314;31;25938;655;748;2717;66956;0;0;306;6983;27126
